tconst,averagerating,numvotes,primary_title,original_title,start_year,runtime_minutes,genres,Animation,Sport,Mystery,Action,Comedy,Documentary,Romance,News,War,Horror,Fantasy,Family,Music,Musical,Sci-Fi,History,Biography,Thriller,Crime,Adventure,Drama,id,release_date,title,vote_average,vote_count,Year,category,primary_name,birth_year,death_year
tt1790809,6.6,228592,Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean: Dead Men Tell No Tales,2017,129.0,"Action,Adventure,Fantasy",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,166426,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,6.6,6931,2017,writer,Ted Elliott,1961.0,
tt1790809,6.6,228592,Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean: Dead Men Tell No Tales,2017,129.0,"Action,Adventure,Fantasy",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,166426,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,6.6,6931,2017,writer,Terry Rossio,1960.0,
tt1790809,6.6,228592,Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean: Dead Men Tell No Tales,2017,129.0,"Action,Adventure,Fantasy",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,166426,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,6.6,6931,2017,writer,Jeff Nathanson,1965.0,
tt1790869,5.3,4924,In Their Skin,In Their Skin,2012,97.0,"Horror,Thriller",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,117978,2012-11-09,In Their Skin,5.3,64,2012,writer,Justin Tyler Close,,
tt1825784,3.4,655,3 Geezers!,3 Geezers!,2013,81.0,Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190967,2013-05-22,3 Geezers!,4.7,13,2013,writer,Randle Schumacher,,
tt1825784,3.4,655,3 Geezers!,3 Geezers!,2013,81.0,Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190967,2013-05-22,3 Geezers!,4.7,13,2013,writer,Eric Radzan,,
tt1825784,3.4,655,3 Geezers!,3 Geezers!,2013,81.0,Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190967,2013-05-22,3 Geezers!,4.7,13,2013,writer,Tony Cummings,,
tt1844635,4.3,546,The Bucks County Massacre,The Bucks County Massacre,2010,84.0,"Action,Horror,Thriller",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,58250,2010-12-01,The Bucks County Massacre,4.5,8,2010,writer,Elliot Hoffman,,
tt1844635,4.3,546,The Bucks County Massacre,The Bucks County Massacre,2010,84.0,"Action,Horror,Thriller",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,58250,2010-12-01,The Bucks County Massacre,4.5,8,2010,writer,Dan Kellmer,,
tt1844635,4.3,546,The Bucks County Massacre,The Bucks County Massacre,2010,84.0,"Action,Horror,Thriller",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,58250,2010-12-01,The Bucks County Massacre,4.5,8,2010,writer,Jimm Scannell,,
tt3733774,5.4,16019,The Trust,The Trust,2016,92.0,"Crime,Drama,Thriller",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,301608,2016-05-13,The Trust,5.0,272,2016,writer,Adam Hirsch,,
tt3741188,4.2,169,Bonejangles,Bonejangles,2017,78.0,"Comedy,Horror",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,462300,2017-07-18,Bonejangles,4.0,1,2017,writer,Keith Melcher,,
tt3743206,5.3,45,3 Scream Queens,3 Scream Queens,2014,75.0,Horror,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,287318,2014-11-25,3 Scream Queens,5.0,1,2014,writer,Matthew Jason Walsh,1970.0,
tt3799694,7.4,240337,The Nice Guys,The Nice Guys,2016,116.0,"Action,Comedy,Crime",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,290250,2016-05-20,The Nice Guys,7.1,4272,2016,writer,Anthony Bagarozzi,,
tt3832096,3.7,7873,Cabin Fever,Cabin Fever,2016,99.0,Horror,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,298584,2016-02-12,Cabin Fever,4.6,215,2016,writer,Eli Roth,1972.0,
tt3832096,3.7,7873,Cabin Fever,Cabin Fever,2016,99.0,Horror,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,298584,2016-02-12,Cabin Fever,4.6,215,2016,writer,Randy Pearlstein,1971.0,
